Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time3,Unzipper_Time7,Unzipper_Time8,Unzipper_Time9,Unzipper_Time13,Unzipper_Time14,Unzipper_Time15
100,5,5,1.3813e-05,1.4737e-05,0.000729785,1.0043e-05,1.0026e-05,0.000729745,7.984e-06,6.524e-06,0.000348614,
127,5,5,1.196e-05,1.0277e-05,0.00110501,1.2555e-05,1.3969e-05,0.00160114,7.771e-06,1.3146e-05,0.00161246,
162,5,5,1.9839e-05,1.5788e-05,0.00310778,1.8577e-05,2.0967e-05,0.00310865,1.4432e-05,2.2108e-05,0.00310292,
207,5,5,3.4093e-05,3.8069e-05,0.00779766,3.2515e-05,2.8756e-05,0.00779609,2.3914e-05,3.8745e-05,0.00729885,
264,5,5,5.278e-05,4.7479e-05,0.0129214,5.6378e-05,5.3788e-05,0.0130983,4.2924e-05,6.4694e-05,0.0129158,
336,5,5,9.2958e-05,9.2497e-05,0.0322941,9.9297e-05,0.000102006,0.0320404,8.1326e-05,0.000112706,0.0323587,
428,5,5,0.000346313,0.000196655,0.0904778,0.000225099,0.000215258,0.0891906,0.000260629,0.000212431,0.0883679,
546,5,5,0.000406567,0.000385969,0.245831,0.000423677,0.000422255,0.240727,0.00040077,0.000399765,0.240857,
695,5,5,0.00112818,0.000735728,0.630244,0.000793748,0.00077959,0.6137,0.000821931,0.000752485,0.619932,
886,5,5,0.00172907,0.00148121,1.72341,0.00158286,0.00154926,1.69001,0.00147629,0.00150745,1.70607,
1129,5,5,0.00297166,0.0033889,4.51189,0.00311338,0.0030672,4.44057,0.0029242,0.00295198,4.4551,
1438,5,5,0.00638929,0.00573149,11.8904,0.00616748,0.00635445,11.702,0.00579792,0.00586159,11.7713,
