Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time4,Unzipper_Time5
100,5,5,0.000257621,0.00031959,0.00527058,0.00575672,
127,5,5,0.00114605,0.00092178,0.0139402,0.0147959,
162,5,5,0.00197432,0.00207319,0.0354527,0.0377232,
207,5,5,0.00434927,0.00461791,0.0851637,0.0896869,
264,5,5,0.0114565,0.0116085,0.219053,0.244936,
336,5,5,0.0264591,0.0286867,0.544371,0.632135,
428,5,5,0.0776163,0.0835631,1.61253,1.81178,
546,5,5,0.221629,0.217801,4.75081,4.72016,
695,5,5,0.529942,0.525639,11.8691,11.5779,
886,5,5,1.33367,1.34448,30.6193,29.5253,
1129,5,5,3.3436,3.35052,79.2645,73.7624,
1438,5,5,8.3731,8.28233,185.461,184.867,
1833,5,5,21.7143,21.4763,476.442,475.84,
2336,5,5,55.9055,55.4854,1219.63,1215.7,
2976,5,5,145.275,142.35,3153.22,3142.06,
